"ID","primary_color","secondary_color","height","wingspan","weight","hobby","dsb","pardoned"
1,"black","blue",26.2204428124472,45.3689406765983,18.0729251649058,"trivia",1,"not"
2,"brown","blue",27.2364962145646,35.5174641559645,17.0631889887609,"art",2,"not"
3,"black","grey",28.0768090661311,35.9137739750031,12.0984420358603,"cooking",1,"not"
4,"grey","grey",28.3424669102153,43.6690523324118,16.540531945071,"art",2,"not"
5,"black","blue",27.2764988463595,37.4414081136764,13.5006494444744,"cooking",3,"not"
6,"black","blue",22.5878432862244,37.7770605004441,13.3700101616246,"cooking",0,"not"
7,"black","blue",29.7842000570678,39.5936765336458,17.1282495255018,"comedy",7,"not"
8,"black","blue",24.3392268077228,36.6583949979243,20.5261747839857,"yoga",10,"pardoned"
9,"black","blue",33.1913108110883,27.342351713653,14.0083429224366,"cooking",5,"not"
10,"grey","blue",27.831508806525,40.6263146674222,23.0035853367237,"cooking",3,"not"
11,"grey","blue",28.34700776851,20.4656979264608,16.6094053016556,"trivia",1,"not"
12,"black","blue",30.9457034820419,51.4328473892298,14.7527726196011,"cooking",3,"not"
13,"grey","grey",30.3041757449864,46.7631049868685,18.5873729715054,"art",2,"not"
14,"black","blue",28.8235775080452,36.8720747786273,11.7683189061752,"cooking",4,"not"
15,"black","blue",28.0250738899846,29.5182114981495,15.2533289063535,"comedy",2,"not"
16,"black","blue",31.4111791111412,37.2389305449747,15.0736023459835,"yoga",6,"pardoned"
17,"black","blue",26.6357255501868,27.7881965055341,16.390675206872,"cooking",2,"not"
18,"brown","blue",27.2931638710864,36.0349350719215,16.7496719666842,"art",3,"not"
19,"grey","grey",28.5754013355388,27.3416808999046,16.837504512152,"cooking",4,"not"
20,"grey","blue",28.7696628115533,18.287806810133,10.5012950666473,"cooking",0,"not"
21,"black","blue",23.1657628450465,18.6168603242985,9.82985038346629,"karaoke",3,"not"
22,"black","grey",29.4733425641337,29.1180997122144,15.7211015499697,"karaoke",1,"not"
23,"black","grey",24.5551061551602,37.7056797874225,15.3203107721569,"trivia",1,"not"
24,"grey","blue",28.3424809285903,32.0462229673904,14.6754348032798,"art",0,"not"
25,"grey","blue",23.6907774124579,21.7862635826564,5.78087976203734,"cooking",2,"not"
26,"black","blue",25.5463104998181,32.6738409299384,17.120126501543,"comedy",5,"not"
27,"grey","blue",27.6658978143046,30.4546000419411,15.232975401877,"cooking",4,"not"
28,"grey","blue",26.0554354055205,35.5654006749819,14.2118066423705,"comedy",2,"not"
29,"black","blue",23.9623604149123,47.7346578682872,15.7712821804545,"yoga",7,"pardoned"
30,"grey","blue",32.8387577662721,28.9170242689799,20.7528957499281,"art",0,"not"
31,"black","blue",24.2921083324555,32.6250225485151,11.8376506315282,"debate",9,"pardoned"
32,"grey","grey",25.6000165586552,43.5779137568681,19.444210485447,"cooking",0,"not"
33,"grey","blue",31.4989855643016,45.4157616253378,18.116268250264,"cooking",1,"not"
34,"grey","blue",29.9151933730085,47.8921549668548,17.7337248640139,"art",0,"not"
35,"grey","blue",28.767194576978,33.8056500480572,15.8704217988497,"debate",3,"not"
36,"grey","blue",26.4915599547732,33.9031364559981,11.5739312468328,"yoga",7,"pardoned"
37,"black","grey",28.8650220845881,15.2597982727137,15.7944484909644,"cooking",1,"not"
38,"grey","blue",27.9673325776907,40.3326819628023,14.7160320513166,"trivia",2,"not"
39,"brown","blue",30.4674752963962,40.0815586699007,16.9025955727534,"comedy",1,"not"
40,"grey","blue",29.5652143576216,38.1190115398338,16.2160408360648,"comedy",3,"not"
41,"grey","grey",27.8877403643753,36.8593022239108,22.5593410842911,"debate",4,"not"
42,"grey","blue",30.244965624821,35.8466379157527,14.0266812098117,"cooking",3,"not"
43,"grey","blue",30.1068937013169,32.1283696559846,15.6157526860505,"art",1,"not"
44,"black","blue",28.8774437355986,20.8317596060047,14.7155000373921,"debate",0,"not"
45,"brown","blue",26.8989647406584,46.3036915126796,19.0021681800927,"debate",8,"pardoned"
46,"black","blue",26.100036703152,40.0591651615028,15.7044199739648,"yoga",1,"not"
47,"black","grey",26.8759923150534,37.930198250644,16.8248304646581,"karaoke",1,"not"
48,"brown","grey",24.5361674029776,46.5657827087866,11.7856222100226,"trivia",8,"pardoned"
49,"grey","blue",29.213355243957,33.7275438395198,15.2374692427743,"trivia",1,"not"
50,"black","blue",35.8520388561801,19.7735726420207,12.4678366186551,"art",2,"not"
51,"grey","blue",25.7615219142431,27.9660102067423,13.386810680392,"cooking",2,"not"
52,"grey","blue",23.2827915997526,25.948814164688,11.1394542975924,"comedy",3,"not"
53,"black","blue",26.0157977701192,37.4050748443073,12.9279023947592,"yoga",6,"pardoned"
54,"black","grey",26.7179695583629,35.553320108738,11.8549352079709,"art",2,"not"
55,"brown","blue",27.806767120272,43.3263549771686,18.6823755011452,"karaoke",2,"not"
56,"grey","blue",27.6118417636265,26.9923650926928,12.7378193736012,"art",0,"not"
