"ID","Turkey_Weight","Turkey_Age","Training_Weeks","Protein_Content","Practice_Sessions","Species","Wingspan","FiveK_Time","Glide_Distance","Feather_Shine","Training_Jam","Barnyard_Rivals","Confidence_Score","Gobble_Style","Feather_Pattern","Gobble_Volume"
1,23.0582726607099,33.8387272800319,3,34.3429062888026,5,"Osceola",65.3806285466999,26.1528279155027,1.77037253743038,4.44472452625632,"Pop",6,5.87756779044867,"High-Pitch",4,60.0997798796743
2,27.1075122966431,25.2664306657389,12,28.4807212487794,3,"Eastern",52.7623235248029,35.4204109567218,33.0209311330691,7.36877692863345,"Gobblecore",3,1.42818628391251,"Low-Pitch",5,62.9276104085147
3,19.925475504715,33.9925407283008,7,37.3515660059638,5,"Gould",55.27140077902,34.8074981290847,13.8820905005559,5.64814069843851,"Gobblecore",9,4.77086880640127,"Random",3,61.4220829121768
4,18.5330241918564,13.7897326787934,11,35.9270647540689,4,"Osceola",90.3428818332031,28.0957814469002,8.79957379074767,1.66208031005226,"Country",3,5.7366766273044,"High-Pitch",5,70.1014344580472
5,29.7474981099367,30.6616646437906,12,42.3242339980789,6,"Rio Grande",57.6661806320772,31.751476401696,26.7771582701243,5.90815166616812,"Classical",3,3.28478510351852,"High-Pitch",4,103.852675007656
6,14.6614341111854,20.4146209023893,6,39.4795745424926,3,"Osceola",61.5841574966908,32.3761413851753,15.7751855556853,5.30039953952655,"Classical",7,1.28401924669743,"Random",2,108.28835693188
7,14.7419953905046,23.1243955940008,1,23.0665269237943,1,"Osceola",80.6543333688751,36.852842568187,7.45592296589166,6.90112957498059,"Classical",12,3.11140931723639,"Low-Pitch",4,92.699264427647
8,36.4059824193828,31.0846525328234,12,39.1664701350965,3,"Gould",63.9701907057315,35.227946016239,13.3760211057961,7.76239652885124,"Pop",5,2.88751887669787,"High-Pitch",3,75.224371002987
9,32.0410262746736,17.8807480833493,7,34.9063312192447,1,"Rio Grande",79.7840465675108,38.6181093740743,33.5581917664967,7.50955981016159,"Gobblecore",6,1.2229658390861,"Random",1,115.630647540092
10,25.3024087147787,27.1864872509614,6,32.0094936410896,3,"Eastern",67.3464443534613,21.2439331912901,12.0793049340136,9.72450697189197,"Country",5,5.44912451319396,"High-Pitch",1,74.4828496640548
